"CET's, years 1-4",,,,,,,,,,,
LC User Id,Module 1,Module 2,Module 3,Module 4,Module 1 alias,Module 2 alias,Module 3 alias,Module 4 alias,Term,Placed Subject,Placed Level
38061,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
34841,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
37498,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
29869,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
31107,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
4219,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
28480,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
38386,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
33190,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
27749,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
5276,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
30259,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
37181,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
27555,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
40559,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
30075,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
31073,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
41015,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
